file,exists,rows,last_modified,role,upstream_source,used_in,notes
data\interim\gleif_id_reporting_exceptions.parquet,True,1141,2026-04-19T21:56:04,ID reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\id\uie_assignments.parquet,True,1459,2026-06-19T16:33:44,ID derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\id\investor_economy_summary.parquet,True,20,2026-06-19T16:33:44,ID investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_ph_lei.parquet,True,735,2026-04-16T10:39:13,PH domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_ph_relationships.parquet,True,185,2026-04-16T11:07:05,PH completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_ph_relationships_wip.parquet,False,missing,,PH relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_ph_relationships_scanned.parquet,False,missing,,PH scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_ph_related_lei.parquet,True,89,2026-04-16T15:01:43,PH related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_ph_reporting_exceptions.parquet,True,513,2026-04-19T22:09:33,PH reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\ph\uie_assignments.parquet,True,735,2026-06-19T16:33:55,PH derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\ph\investor_economy_summary.parquet,True,27,2026-06-19T16:33:55,PH investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_vn_lei.parquet,True,356,2026-04-16T08:25:17,VN domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_vn_relationships.parquet,True,231,2026-04-16T08:45:50,VN completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_vn_relationships_wip.parquet,False,missing,,VN relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_vn_relationships_scanned.parquet,False,missing,,VN scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_vn_related_lei.parquet,True,107,2026-04-16T08:49:26,VN related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_vn_reporting_exceptions.parquet,True,223,2026-04-16T09:45:13,VN reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\vn\uie_assignments.parquet,True,356,2026-06-19T16:34:06,VN derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\vn\investor_economy_summary.parquet,True,27,2026-06-19T16:34:06,VN investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_kh_lei.parquet,True,37,2026-04-16T08:55:09,KH domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_kh_relationships.parquet,True,19,2026-04-16T08:56:32,KH completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_kh_relationships_wip.parquet,False,missing,,KH relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_kh_relationships_scanned.parquet,False,missing,,KH scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_kh_related_lei.parquet,True,10,2026-04-16T08:56:47,KH related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_kh_reporting_exceptions.parquet,True,26,2026-04-16T09:17:13,KH reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\kh\uie_assignments.parquet,True,37,2026-06-19T16:34:16,KH derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\kh\investor_economy_summary.parquet,True,9,2026-06-19T16:34:16,KH investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_bn_lei.parquet,True,42,2026-04-16T10:32:05,BN domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_bn_relationships.parquet,True,11,2026-04-16T10:33:35,BN completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_bn_relationships_wip.parquet,False,missing,,BN relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_bn_relationships_scanned.parquet,False,missing,,BN scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_bn_related_lei.parquet,True,9,2026-04-16T10:33:46,BN related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_bn_reporting_exceptions.parquet,True,32,2026-04-16T10:34:29,BN reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\bn\uie_assignments.parquet,True,42,2026-06-19T16:34:27,BN derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\bn\investor_economy_summary.parquet,True,6,2026-06-19T16:34:27,BN investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_la_lei.parquet,True,21,2026-04-16T10:35:40,LA domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_la_relationships.parquet,True,2,2026-04-16T10:36:23,LA completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_la_relationships_wip.parquet,False,missing,,LA relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_la_relationships_scanned.parquet,False,missing,,LA scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_la_related_lei.parquet,True,2,2026-04-16T10:36:25,LA related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_la_reporting_exceptions.parquet,True,19,2026-04-16T10:36:50,LA reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\la\uie_assignments.parquet,True,21,2026-06-19T16:34:36,LA derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\la\investor_economy_summary.parquet,True,2,2026-06-19T16:34:36,LA investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_mm_lei.parquet,True,6,2026-04-16T10:37:30,MM domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_mm_relationships.parquet,True,2,2026-04-16T10:37:42,MM completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_mm_relationships_wip.parquet,False,missing,,MM relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_mm_relationships_scanned.parquet,False,missing,,MM scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_mm_related_lei.parquet,True,2,2026-04-16T10:37:45,MM related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_mm_reporting_exceptions.parquet,True,5,2026-04-16T10:37:51,MM reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\mm\uie_assignments.parquet,True,6,2026-06-19T16:34:45,MM derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\mm\investor_economy_summary.parquet,True,2,2026-06-19T16:34:45,MM investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\raw\gleif_tl_lei.parquet,True,7,2026-04-16T19:14:37,TL domestic LEI universe,GLEIF API LEI records endpoint,raw coverage table; UIE pipeline; deck country snapshot,Country-linked legal-entity records. MY raw file was refreshed before final relationship refresh completed.
data\interim\gleif_tl_relationships.parquet,True,0,2026-04-16T19:15:02,TL completed parent relationships,GLEIF API relationship endpoints,UIE evidence ladder; graph/scoring; relationship counts,"Completed relationship output. If WIP/scanned files exist, a refresh is still incomplete."
data\interim\gleif_tl_relationships_wip.parquet,False,missing,,TL relationship refresh checkpoint,GLEIF API relationship endpoints,provenance caveat only,"Checkpoint artifact, not a final input unless relationship scan completes."
data\interim\gleif_tl_relationships_scanned.parquet,False,missing,,TL scanned-LEI checkpoint,GLEIF API relationship endpoints,provenance caveat only,Tracks scanned LEIs during resumable relationship refresh.
data\raw\gleif_tl_related_lei.parquet,True,0,2026-04-16T19:15:02,TL related parent LEI records,GLEIF API LEI record lookup by LEI,parent country/name enrichment; UIE assignment,
data\interim\gleif_tl_reporting_exceptions.parquet,True,7,2026-04-16T19:15:17,TL reporting exceptions,GLEIF API reporting-exception endpoints,exception counts; UIE evidence/context,
data\processed\tl\uie_assignments.parquet,True,7,2026-06-19T16:34:53,TL derived UIE assignments,"Pipeline-derived from GLEIF records, relationships, exceptions, inference outputs and manual overrides",Word/deck UIE counts; density numerator,
data\processed\tl\investor_economy_summary.parquet,True,0,2026-06-19T16:34:53,TL investor economy summary,Pipeline-derived UIE aggregation,supporting country summaries,
data\processed\gleif_bilateral_entity_counts.csv,True,189,2026-04-23T06:39:06,Bilateral host-parent LEI entity counts,Pipeline-derived from UIE/relationship country assignments,CDIS validation and Spearman correlations,
data\dataset_2026-04-22T22_38_34.423483046Z_DEFAULT_INTEGRATION_IMF.STA_DIP_12.0.1.csv,True,4099740,2026-04-23T06:42:56,IMF Direct Investment Positions by Counterpart Economy extract,"IMF Data: DIP, formerly CDIS",inward FDI denominator; density; CDIS validation,"Local extract used for 2023 all-financial-instrument, all-entity net positions."
data\processed\cdis_validation_output.txt,True,,2026-04-24T08:52:01,CDIS validation text output,Local validation script output,cross-check against deck/writeup validation claims,
data\processed\cdis_validation_tables.xlsx,True,workbook,2026-04-24T08:52:18,CDIS validation workbook,Local validation script output,supporting validation tables,
data\processed\my\uie_review_targets.parquet,True,500,2026-06-22T13:10:10,Malaysia UIE review queue,Pipeline-derived priority queue,main review queue slide and writeup section,
data\processed\my\uie_product_vehicle_targets.parquet,True,509,2026-06-22T13:10:10,Malaysia product-vehicle audit queue,Pipeline-derived entity-type rule output,fund/product vehicle methodology and audit trail,
data\processed\my\entity_match_benchmark.parquet,True,61,2026-06-21T23:14:49,Malaysia GLEIF search benchmark,GLEIF full-text search API via local benchmark function,GLEIF search benchmark slide and writeup section,
data\manual\uie_overrides.csv,True,2,2026-06-21T17:40:21,Manual UIE overrides,Analyst-entered source-backed overrides,UIE evidence ladder; known/source-backed cases,
data\manual\uie_review_status.csv,True,5,2026-06-21T17:43:37,Manual review statuses,Analyst-entered review classifications,review queue classification,
scripts\generate_conference_outputs.py,True,,2026-06-22T13:22:48,Document/deck generation script,Local code,Word and PowerPoint generation; derived CSV exports,
reports\asean_uie_bis_style_writeup_outward_density_provenance_fund_rule_2026-06-22.docx,True,,2026-06-22T13:27:32,Current BIS-style writeup with outward density and provenance,Generated artifact,primary Word output,
reports\asean_uie_bis_style_deck_sceptical_readers_provenance_fund_rule_2026-06-22.pptx,True,,2026-06-22T13:27:32,Current skeptical-reader deck with provenance slides,Generated artifact,primary PowerPoint output,
reports\conference_outward_bilateral_2026-06-22.csv,True,15,2026-06-22T13:27:32,Outward bilateral density audit table,Derived from GLEIF bilateral counts joined to IMF DIP/CDIS outward positions,outward-density writeup and deck slides,
reports\conference_outward_source_summary_2026-06-22.csv,True,6,2026-06-22T13:27:32,Outward source summary audit table,Derived from matched intra-ASEAN outward bilateral pairs,ASEAN outward-density deck summary,
src\pipeline.py,True,,2026-06-22T13:09:05,Core pipeline implementation,Local code,"UIE assignment, review queue, crawl orchestration",
src\gleif.py,True,,2026-06-21T20:57:50,GLEIF API client and normalisation,Local code,GLEIF pulls and search benchmark,
